symbol,entry_date,exit_date,entry,exit,qty,pnl,ret_pct,r_mult,hold,reason
HIKAL,2023-01-02,2023-01-23,411.12525,388.7,450,-10528.649999999965,-5.690966439059611,-0.46565595752832206,15,ema_close
JBMA,2022-12-28,2023-01-25,259.18835499999994,259.44,716,-284.2197799999558,-0.15315309979876923,-0.0125307958699225,20,ema_close
DBCORP,2023-01-03,2023-01-27,132.08649275,126.16,1435,-8957.116096249956,-4.7256101816663385,-0.38657885936250597,17,ema_close
USHAMART,2022-12-22,2023-01-30,140.35,179.95,1377,53909.72212500003,27.89463840399004,2.282806122448982,26,ema_close
JINDALSTEL,2022-12-28,2023-01-30,574.232,588.0,323,3972.2540000000154,2.1416430989565276,0.17525508749928823,22,ema_close
SAIL,2023-01-03,2023-01-30,89.172375,88.15,2125,-2640.84375,-1.393649098165211,-0.11398892443160315,18,ema_close
SCHNEIDER,2023-01-09,2023-01-30,181.60287499999998,175.2,955,-6533.03562499996,-3.766942015648133,-0.3082464529719544,14,ema_close
PRAKASH,2023-01-03,2023-02-06,58.54599999999999,63.95,1510,7918.628750000018,8.957272913606417,0.7328290944661847,23,ema_close
AEGISLOG,2023-01-31,2023-02-10,370.92499999999995,352.85,493,-9345.86262499995,-5.110770371368849,-0.4182487589630431,8,ema_close
ANDHRAPAP,2023-02-01,2023-02-14,90.984494,87.61,2018,-7251.721341999975,-3.949594971644276,-0.32302763613338176,9,ema_close
GRAVITA,2023-01-25,2023-02-21,499.69612499999994,487.95,375,-4862.249999999971,-2.5947769757069707,-0.21232721087182027,18,ema_close
DATAPATTNS,2023-02-01,2023-02-21,1395.9812499999998,1340.95,131,-7648.254874999955,-4.182264267517896,-0.3422628512805467,14,ema_close
INDHOTEL,2023-02-02,2023-02-22,322.805,308.0,559,-8706.424999999988,-4.824894286024064,-0.39485359361135713,14,ema_close
BBL,2023-01-24,2023-02-23,1348.312375,1285.0,140,-9313.482499999984,-4.933936395859297,-0.4037625398395713,21,ema_close
PIIND,2023-02-21,2023-02-24,3348.35,3176.55,53,-9526.292874999956,-5.368058148043041,-0.43930435048270594,3,ema_close
DATAMATICS,2023-01-23,2023-02-28,303.3565,298.2,628,-3706.4559999999765,-1.9455656958067367,-0.15918438903348378,25,ema_close
M&MFIN,2023-02-07,2023-02-28,261.91124525,252.88,693,-6696.767558249994,-3.6895877612188905,-0.3018765803870126,15,ema_close
ZYDUSLIFE,2023-02-07,2023-02-28,471.32537499999995,457.4,385,-5801.516874999972,-3.1971278864414905,-0.2616334210863276,15,ema_close
ACE,2023-02-08,2023-02-28,361.9025,349.0,468,-6446.6999999999825,-3.8062737892111724,-0.3114930182599349,14,ema_close
PAYTM,2023-02-10,2023-02-28,677.639875,594.83,256,-21580.01919999998,-12.439785955630184,-1.0179577013007206,12,stop
TRENT,2023-02-14,2023-02-28,873.779,859.2,201,-3362.1269999999786,-1.9143284514734153,-0.15665065228181474,10,ema_close
ELECON,2023-02-22,2023-02-28,208.51999999999998,189.85,830,-15890.038749999978,-9.18119365048915,-0.7513589089481939,4,ema_close
SWANCORP,2023-03-08,2023-03-15,289.22125,253.88,594,-21369.714299999963,-12.438902743142124,-1.0179591836734676,5,stop
HAL,2023-02-21,2023-03-21,1301.74625,1328.5,138,3233.685000000027,1.800082005229529,0.1473128334891922,19,ema_close
POLYMED,2023-03-06,2023-03-21,962.4,948.05,178,-2976.1822499999835,-1.737336346633407,-0.1421779336734686,10,ema_close
BALRAMCHIN,2023-03-09,2023-03-21,401.350875,365.75,429,-15665.042249999999,-9.0980865558098,-0.7444362613307107,8,ema_close
MGL,2023-03-08,2023-04-05,988.4148749999999,929.15,173,-10654.68075,-6.230961467470833,-0.5098962101008095,18,ema_close
SCHAND,2023-03-10,2023-04-13,214.02743424999997,216.0,799,1144.6200342500233,0.6693374403239754,0.05476705919656592,21,ema_close
NFL,2023-04-13,2023-04-18,86.21499999999999,75.68,1973,-21158.84659999996,-12.438902743142123,-1.0179591836734692,2,stop
VSSL,2023-03-09,2023-04-21,186.91612499999997,197.45,921,9247.070250000019,5.371526934875213,0.4394727771120937,27,ema_close
NEOGEN,2023-04-13,2023-05-09,1613.774375,1520.0,105,-10245.309374999983,-6.046345543192793,-0.4948131760857774,16,ema_close
RCF,2023-04-13,2023-05-10,107.16725,105.5,1588,-3066.4279999999853,-1.801856444016237,-0.14743553035942586,17,ema_close
INDIANB,2023-04-18,2023-05-10,310.2823715,297.78,543,-7193.024074500019,-4.269279442451353,-0.34931416406803667,15,ema_close
KSB,2023-03-13,2023-05-11,417.803905,441.01,414,9150.87797999999,5.290417283198915,0.43294572667849757,38,ema_close
MGL,2023-05-10,2023-05-22,1076.58475,1027.95,158,-8090.330749999994,-4.756209392711532,-0.38922672879542514,8,ema_close
JAICORPLTD,2023-05-09,2023-05-29,163.25712499999997,157.4,1055,-6594.409374999959,-3.828699666247316,-0.31320267824147885,14,ema_close
WELSPUNLIV,2023-04-17,2023-05-30,81.352875,90.65,2095,19002.69750000001,11.1495752301317,0.912261292634173,30,ema_close
GRAUWEIL,2023-04-17,2023-05-30,56.992125,52.6,2990,-13525.638750000013,-7.9372808085327655,-0.6488158201409191,30,ema_close
IDBI,2023-04-17,2023-06-09,51.82925,54.85,3288,9481.359000000026,5.563701963659532,0.45488425286903156,38,ema_close
BSOFT,2023-05-10,2023-06-12,309.020625,328.5,516,9627.592500000028,6.037825145166299,0.49411589453299704,23,ema_close
MARICO,2023-05-11,2023-06-12,532.02675,536.85,321,1117.4411250000412,0.6543139043290829,0.053541971876479966,22,ema_close
DEEPAKNTR,2023-05-29,2023-06-12,2080.388,2026.0,79,-4696.786999999982,-2.8577842210202986,-0.2338662093164127,10,ema_close
WABAG,2023-04-18,2023-06-19,387.9675,461.9,272,19795.54800000001,18.75872334667209,1.5351526657174515,43,ema_close
MASTEK,2023-04-21,2023-06-23,1781.4424999999999,1930.0,94,13510.85500000001,8.06832103758612,0.6602850481779664,44,ema_close
INDIACEM,2023-06-12,2023-06-26,230.925875,209.25,765,-16982.234999999986,-9.613041414263336,-0.7864769471274133,10,ema_close
MAHSEAMLES,2023-03-10,2023-07-04,356.78974999999997,456.0,479,46975.64975000001,27.486846244882322,2.2493305580880643,76,ema_close
RAMCOCEM,2023-05-22,2023-07-11,844.1049999999999,925.05,205,16119.636875000026,9.315473193500825,0.7623479082844561,35,ema_close
NAUKRI,2023-05-30,2023-07-11,841.5170462499999,873.92,208,6285.375980000012,3.590914038480781,0.293845018423991,29,ema_close
VIYASH,2023-06-26,2023-07-24,88.22,87.7,1815,-1341.7387499999895,-0.8379619133983159,-0.06857606679035197,19,ema_close
HINDZINC,2023-07-11,2023-07-24,330.77487499999995,315.0,583,-9655.864624999958,-5.00714420948687,-0.4097075130102433,9,ema_close
TANLA,2023-07-24,2023-08-02,1269.26525,1114.16,157,-24788.83204999994,-12.439531453334881,-1.0179581284321437,7,stop
JBMA,2023-06-09,2023-08-04,470.15796374999996,675.48,378,76973.40110250004,43.31168499748721,3.5440402506432394,39,ema_close
STAR,2023-06-12,2023-08-04,357.347541,401.02,494,21078.935046000028,11.940731110277897,0.9771539230935877,38,ema_close
HDFCAMC,2023-06-23,2023-08-04,1015.121475,1210.8,178,34291.97145000001,18.97817450862224,1.5529966491732574,29,ema_close
FACT,2023-06-19,2023-08-10,376.990125,468.25,332,29909.63100000001,23.896978733859413,1.9554809108939923,37,ema_close
UNITDSPR,2023-07-24,2023-08-14,1041.6476249999998,987.6,144,-8138.393999999971,-5.425695181707903,-0.4440072237972849,15,ema_close
HFCL,2023-08-10,2023-08-21,71.97949999999999,67.45,2874,-13502.411249999917,-6.527032002167245,-0.5339081766009407,6,ema_close
POONAWALLA,2023-08-04,2023-08-29,419.295625,417.4,489,-1437.2321250000095,-0.700967247154086,-0.05736487063444666,16,ema_close
FDC,2023-08-04,2023-08-30,373.88237499999997,380.8,549,3275.1281250000466,1.595588719580613,0.13056062417416667,17,ema_close
VASCONEQ,2023-08-04,2023-09-12,48.621249999999996,56.8,4221,33923.12175000002,16.52929531840503,1.3527035556490654,26,ema_close
TEXRAIL,2023-06-12,2023-09-13,66.616125,139.95,2246,163922.06399999995,109.55905946195456,8.959351839064587,65,ema_close
LATENTVIEW,2023-08-21,2023-09-13,429.821875,421.35,449,-4276.837249999953,-2.216092422006185,-0.1813577675968328,17,ema_close
BEML,2023-08-30,2023-09-13,1233.73334175,1173.96,169,-10597.692855749949,-5.082803522279024,-0.4159382580812272,10,ema_close
BLS,2023-08-02,2023-09-14,243.50725,270.8,719,19136.72425000003,10.930167376946699,0.8944290887094755,30,ema_close
ADANIPORTS,2023-09-13,2023-09-21,861.1474999999999,821.15,280,-11774.104999999981,-4.8830630060471565,-0.39961393171936943,5,ema_close
RAILTEL,2023-08-29,2023-09-22,191.327125,211.4,1066,20834.303749999992,10.215161598231298,0.8356895086505927,17,ema_close
MAHLIFE,2023-05-30,2023-09-25,441.1639595,557.13,392,44912.70047600003,25.970665334913896,2.1251122448166715,81,ema_close
